,0
0,English
1,Catalan
2,Chinese
3,Chinese (Traditional)
4,Croatian
5,Czech
6,Danish
7,Dutch
8,Finnish
9,French
10,German
11,Italian
12,Japanese
13,Lithuanian
14,Norwegian
15,Polish
16,Portuguese
17,Russian
18,Serbian
19,Slovak
20,Spanish
21,Swedish
22,Turkish
23,Ukrainian
24,Afrikaans
25,Arabic
26,Belarusian
27,Bulgarian
28,Estonian
29,Greek
30,Hebrew
31,Hungarian
32,Icelandic
33,Indonesian
34,Korean
35,Latvian
36,Macedonian
37,Malayalam
38,Northern Sami
39,Persian
40,Romanian
41,Slovenian
42,Thai
43,Scientific
